Type,Model,Processor,RAM,Graphics Card,Storage,Screen Size,Price,Average Rating,Speed,COUNT
Laptop,Asus TUF Gaming F15 FX507ZC4-HN150,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,4648,0.442,,12
Laptop,Asus TUF Gaming F15 FX507VV4-LP061W,intel core i7 13700H,16 GB,NVIDIA GeForce RTX 4060,1TB SSD,15.6 inshes,6160,0.52275,,5
Laptop,Asus TUF Gaming F17 FX707ZV4-LL010,Intel Core i7 12700H,8 GB,NVIDIA GeForce RTX 4060,512GB SSD,17.3 inshes,5772,0.442,,11
Laptop,Asus TUF Gaming F15 FX507VU4-LP001,intel core i7 13700H,16 GB,NVIDIA GeForce RTX 4050,512GB SSD,15.6 inshes,5178,0.52275,,9
Laptop,Asus TUF Gaming 17 FX707ZR-HX016,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3070,1TB SSD,17.3 inshes,6686,0.442,,7
Laptop,Acer Predator Helios Neo NH.QNMEC.002,Intel Core i9 14900HX,32 GB,NVIDIA GeForce RTX 4070,1TB SSD,16 inshes ,9189,0.929,,10
Laptop,HP Victus 16-r0008nj 800K3EA,intel core i7 13700H,32 GB,NVIDIA GeForce RTX 4070,1TB SSD,16.1 inshes,7790,0.52275,,15
Laptop,Dell G15 5511 IN-RD33-13264,Intel Core i5 11400H,16 GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inshes,4690,0.2,,14
Laptop,Lenovo Legion 5 Pro 16IAH7H 82RF007QIV,Intel Core i7 12700H,16 GB,NVIDIA GeForce RTX 3070,1TB SSD,16 inshes ,7198,0.442,,6
Laptop,Lenovo Legion 5 Pro 16ITH6 82JF002XIV,Intel Core i5 11400H,16 GB,NVIDIA GeForce RTX 3050,512GB SSD,16 inshes ,5300,0.2,,12
Laptop,Lenovo Legion Pro 5 16IRX8 82WK00G9IV,intel core i9 13900HX,32 GB,NVIDIA GeForce RTX 4050,1TB SSD,16 inshes ,7622,0.739,,8
Laptop,Asus TUF Gaming F15 FX506HE-HN059W,Intel Core i7 11800H,16 GB,NVIDIA GeForce RTX 3050 Ti,1TB SSD,15.6 inshes,4589,0.568,,13
Laptop,Lenovo IdeaPad Gaming 3 15ARH7 82SB00SLUS,AMD Ryzen 5 7535HS,8 GB,NVIDIA Geforce RTX 2050,512GB SSD,15.6 inshes,3390,0.339,,11
Laptop,Lenovo IdeaPad Gaming 3 15IAH7 82S900FLIV,Intel Core i5 12450H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,4493,0.324,,7
Laptop,Lenovo LOQ 15IRH8 82XV00H7IV,Intel Core i5 13420H,16 GB,NVIDIA GeForce RTX 3050,1TB SSD,15.6 inshes,4799,0.2795,,9
Laptop,HP OMEN 16-wf1000nj 9Y068EA,Intel Core i9 14900HX,32 GB,NVIDIA GeForce RTX 4080,1TB SSD,16.1 inshes,11725,0.929,,14
Laptop,Gigabyte G5 15 G5-MF-E2EE333SH,Intel Core i5 12500H,8 GB,NVIDIA GeForce RTX 4050,512GB SSD,15.6 inshes,4547,0.3535,,10
Laptop,Asus ROG Zephyrus G15 GA503RS-HQ011,AMD Ryzen 9 6900HS,32 GB,NVIDIA GeForce RTX 3080,1TB SSD,15.6 inshes,9590,0.4775,,5
Laptop,Asus ROG Zephyrus M16 GU603ZX-K8031W,Intel Core i9 12900H,32 GB,NVIDIA GeForce RTX 3080 Ti,2TB SSD,16 inshes ,10998,0.5,,6
Laptop,HP Victus Gaming 15-Fa1023n 800J8EA,Intel Core i5 13500H,16 GB,NVIDIA GeForce RTX 4050,1TB SSD,15.6 inshes,4831,0.4165,,12
Laptop,Asus TUF Gaming F15 FX507VV4-LP061 ,intel core i7 13700H,16 GB,NVIDIA GeForce RTX 4060,1TB SSD,15.6 inshes,6439,0.52275,,15
Laptop,Asus TUF Dash F15 FX517ZC-HN111W,Intel Core i7 12650H,16 GB,Intel Iris Xe Graphicsþ,1TB SSD,15.6 inshes,4648,0.4705,,11
Laptop,Lenovo Legion Pro 7 16IRX9H 83DE004CIV,Intel Core i9 14900HX,32 GB,NVIDIA GeForce RTX 4080,1TB SSD,16 inshes ,12460,0.929,,8
Laptop,Asus TUF Gaming F15 FX506HF-HN036,Intel Core i5 11400H,32 GB,NVIDIA Geforce RTX 2050,1TB SSD,15.6 inshes,3690,0.2,,7
Laptop,Lenovo Legion 5 15ARH05 82B5001XUS,AMD Ryzen 4600H,8 GB,NVIDIA GeForce GTX 1650 Ti,1.2TB SSD,15.6 inshes,3690,0.33,,13
Laptop,Asus TUF Dash F15 FX517ZM-HN114W,Intel Core i7 12650H,16 GB,NVIDIA GeForce RTX 3060,1TB SSD,15.6 inshes,5593,0.4705,,9
Laptop,Gigabyte Aorus 15 AORUS15-BSF-73EE754SH,intel core i7 13700H,16 GB,NVIDIA GeForce RTX 4070,1TB SSD,15.6 inshes,8299,0.52275,,10
Laptop,Lenovo Legion 5 15IAH7 82RC0058IV,Intel Core i5 12400f,16GB,NVIDIA GeForce RTX 3050 Ti,1000GB SSD,15.6 inches,5414,0.205,,14
Laptop, Lenovo IdeaPad Gaming 3 15ACH6 82K2004FIV,Ryzen 7 5800H,8GB ,NVIDIA GTX 1650,256GB SSD,15.6 inches,4299,0.371,,6
Laptop,Gigabyte G5,Intel Core i5 11400H,16GB,NVIDIA GeForce RTX 3050 Ti,512GB SSD,15.6 inches,4230,0.2,,5
